Rank,Song,Artist,Year,Lyrics,Source,Total Words,Unique Words
11,cheap thrills,sia featuring sean paul,2016,come on come on turn the radio on its friday night and it wont be long gotta do my hair put my makeup on its friday night and it wont be long till i hit the dance floor hit the dance floor i got all i need no i aint got cash i aint got cash but i got you baby baby i dont need dollar bills to have fun tonight i love cheap thrills baby i dont need dollar bills to have fun tonight i love cheap thrills but i dont need no money as long as i can feel the beat i dont need no money as long as i keep dancing come on come on turn the radio on its saturday and it wont be long gotta paint my nails put my high heels on its saturday and it wont be long till i hit the dance floor hit the dance floor i got all i need no i aint got cash i aint got cash but i got you baby baby i dont need dollar bills to have fun tonight i love cheap thrills baby i dont need dollar bills to have fun tonight i love cheap thrills but i dont need no money as long as i can feel the beat i dont need no money as long as i keep dancing i love cheap thrills i love cheap thrills i dont need no money as long as i can feel the beat i dont need no money as long as i keep dancing oh oh oooh baby i dont need dollar bills to have fun tonight i love cheap thrills baby i dont need dollar bills to have fun tonight i love cheap thrills but i dont need no money as long as i can feel the beat i dont need no money as long as i keep dancing la la la la la la la i love cheap thrills la la la la la la la i love cheap thrills la la la la la la la i love cheap thrills la la la la la la i love cheap thrills,1,358,58
12,7 years,lukas graham,2016,once i was seven years old my mama told me go make yourself some friends or youll be lonely once i was seven years old it was a big big world but we thought we were bigger pushing each other to the limits we were learning quicker by eleven smoking herb and drinking burning liquor never rich so we were out to make that steady figure once i was eleven years old my daddy told me go get yourself a wife or youll be lonely once i was eleven years old i always had that dream like my daddy before me so i started writing songs i started writing stories something about the glory just always seemed to bore me cause only those i really love will ever really know me once i was twenty years old my story got told before the morning sun when life was lonely once i was twenty years old i only see my goals i dont believe in failure cause i know the smallest voices they can make it major i got my boys with me atleast those in favor and if we dont meet before i leave i hope ill see you later once i was 20 years old my story got told i was writing about everything i saw before me once i was 20 years old soon well be 30 years old our songs have been sold weve traveled around the world and were still roaming soon well be 30 years old im still learning about life my woman brought children for me so i can sing them all my songs and i can tell them stories most of my boys are with me some are still out seeking glory and some i had to leave behind my brother im still sorry soon ill be 60 years old my daddy got 61 remember life and then your life becomes a better one i made the man so happy when i wrote a letter once i hope my children come and visit once or twice a month soon ill be 60 years old will i think the world is cold or will i have a lot of children who can bore me soon ill be 60 years old soon ill be 60 years old will i think the world is cold or will i have a lot of children who can bore me soon ill be 60 years old once i was seven years old my mama told me go make yourself some friends or youll be lonely once i was seven years old once i was seven years old,1,438,159
13,needed me,rihanna,2016,mustard on the beat ho i was good on my own thats the way it was thats the way it was you was good on the low for a faded fuck on some faded love shit what the fuck you complaining for feeling jaded huh used to trip off that shit i was kickin to you had some fun on the run though i give it to you but baby dont get it twisted you was just another nigga on the hit list tryna fix your inner issues with a bad bitch didnt they tell you that i was a savage fuck your white horse and a carriage bet you never could imagine never told you you could have it you needed me oooh you needed me to feel a little more and give a little less know you hate to confess but baby ooo you needed me you been rollin around shit im rollin up light and roll it up break it down like a pound shit was never us shit was never us thats the real on the real are you serious how you feel how you feel used to trip off that shit i was kickin to ya had some fun on the run though i give it to ya but baby dont get it twisted you was just another nigga on the hit list tryna fix your inner issues with a bad bitch didnt they tell you that i was a savage fuck your white horse and a carriage bet you never could imagine never told you you could have it you needed me oooh you needed me to feel a little more and give a little less know you hate to confess but baby ooo you needed me,1,293,98
14,my house,flo rida,2016,open up the champagne pop its my house come on turn it up hear a knock on the door and the night begins cause we done this before so you come on in make yourself at my home tell me where you been pour yourself something cold baby cheers to this sometimes you gotta stay in and you know where i live yeah you know what we is sometimes you gotta stay in in welcome to my house baby take control now we cant even slow down we dont like to go out welcome to my house play that music too loud show me what you do now we dont like to go out welcome to my house welcome to my house morning comes and you know that you wanna stay close the blinds lets pretend that the time has changed keep our clothes on the floor open up champagne lets continue tonight come on celebrate sometimes you gotta stay in and you know where i live yeah you know what we is sometimes you gotta stay in in welcome to my house baby take control now we cant even slow down we dont like to go out welcome to my house play that music too loud show me what you do now we dont like to go out welcome to my house welcome to my house welcome to my the crib the spot the pad but my house is your house if you throwin it back excuse me if my home soon as these happy faces you can run with the cash homerun slam dunk touchdown pass mi casa es tu casa so it aint no holding back another shot of vodka you know whats in my glass its my house just relax welcome to my house baby take control now we cant even slow down we dont like to go out welcome to my house play that music too loud show me what you do now we dont like to go out welcome to my house welcome to my house welcome to my house its my house,1,349,124
15,i took a pill in ibiza,mike posner,2016,i took a pill in ibiza to show avicii i was cool and when i finally got sober felt 10 years older but fuck it it was something to do im living out in la i drive a sports car just to prove im a real big baller cause i made a million dollars and i spend it on girls and shoes but you dont wanna be high like me never really knowing why like me you dont ever wanna step off that roller coaster and be all alone you dont wanna ride the bus like this never knowing who to trust like this you dont wanna be stuck up on that stage singing stuck up on that stage singing all i know are sad songs sad songs darling all i know are sad songs sad songs im just a singer who already blew his shot i get along with old timers cause my names a reminder of a pop song people forgot and i cant keep a girl no cause as soon as the sun comes up i cut em all loose and works my excuse but the truth is i cant open up but you dont wanna be high like me never really knowing why like me you dont ever wanna step off that roller coaster and be all alone you dont wanna ride the bus like this never knowing who to trust like this you dont wanna be stuck up on that stage singing stuck up on that stage singing all i know are sad songs sad songs darling all i know are sad songs sad songs i took a plane to my hometown i brought my pride and my guitar all my friends are all gone but theres manicured lawns and the people still think im a star i walked around downtown i met some fans on lafayette they said tell us how to make it cause were getting real impatient so i looked em in the eye and said but you dont wanna be high like me never really knowing why like me you dont ever wanna step off that roller coaster and be all alone you dont wanna ride the bus like this never knowing who to trust like this you dont wanna be stuck up on that stage singing stuck up on that stage singing all that i know are sad songs sad songs darling all that i know are sad songs sad songs,1,411,145
16,work from home,fifth harmony featuring ty dolla ign,2016,feat ty dolla ign verse 1 camila i aint worried bout nothin i aint wearin nanada im sittin pretty impatient but i know you gotta put in them hours imma make it harder im sending pic after picture imma get you fired prechorus normani i know youre always on the night shift but i cant stand these nights alone and i dont need no explanation cause baby youre the boss at home chorus lauren you dont gotta go to work work work work work work work but you gotta put in work work work work work work work you dont gotta go to work work work work work work work let my body do the work work work work work work work we can work from home oh oh ohoh we can work from home oh oh ohoh verse 2 ally lets put it into motion imma give you a promotion ill make it feel like a vacay turn the bed into an ocean we dont need nobody i just need your body nothin but sheets in between us aint no getting off early prechorus dinah i know youre always on the night shift but i cant stand these nights alone and i dont need no explanation cause baby youre the boss at home chorus lauren you dont gotta go to work work work work work work work but you gotta put in work work work work work work work you dont gotta go to work work work work work work work let my body do the work work work work work work work we can work from home oh oh ohoh we can work from home oh oh ohoh verse 3 ty dolla ign oh yeah girl go to work for me can you make it clap no hands for me take it to the ground pick it up for me look back at it all over me put in work like my timesheet she ride it like a 63 imma buy her new c�line let her ride in a foreign with me oh she the bae im her boo and she down to break the rules ride or die she gon go i wont judge she finessin i pipe her she take that put in overtime on your body chorus lauren camila you dont gotta go to work work work work work work work but you gotta put in work work work work work work work you dont gotta go to work work work work work work work let my body do the work work work work work work work we can work from home oh oh ohoh we can work from home oh oh ohoh outro camila yeah we can work from home yeah we can work from home yeah,1,463,139
17,this is what you came for,calvin harris featuring rihanna,2016,baby this is what you came for lightning strikes every time she moves and everybodys watching her but shes looking at you oh oh you oh oh you oh oh you oh oh you oh oh you oh oh oh oh we go fast til they cant replay who knows why its gotta be this way we say nothing more than we need i say your place when we leave baby this is what you came for lightning strikes every time she moves and everybodys watching her but shes looking at you oh oh you oh oh you oh oh you oh oh you oh oh you oh oh oh oh but shes looking at you oh oh baby this is what you came for lightning strikes every time she moves and everybodys watching her but shes looking at you oh oh you oh oh you oh oh you oh oh you oh oh you oh oh oh oh,1,159,46
18,cake by the ocean,dnce,2016,oh no see you walking round like its a funeral not so serious girl why those feet cold we just getting started dont you tiptoe tiptoe ah waste time with a masterpiece dont waste time with a masterpiece you should be rolling with me you should be rolling with me ah youre a reallife fantasy youre a reallife fantasy but youre moving so carefully lets start living dangerously talk to me baby im going blind from this sweet sweet craving whoaoh lets lose our minds and go fucking crazy iiiiii keep on hoping well eat cake by the ocean walk for me baby ill be diddy you be naomi whoa oh lets lose our minds and go fucking crazy iiiiii keep on hoping well eat cake by the ocean hot damn see you licking frosting from your own hands want another taste im begging yes maam im tired of all this candy on the dry land dry land oh waste time with a masterpiece dont waste time with a masterpiece you should be rolling with me you should be rolling with me ah youre a reallife fantasy youre a reallife fantasy but youre moving so carefully lets start living dangerously talk to me baby im going blind from this sweet sweet craving whoaoh lets lose our minds and go fucking crazy iiiiii keep on hoping well eat cake by the ocean walk for me baby walk for me now ill be diddy you be naomi whoa oh lets lose our minds and go fucking crazy iiiiii keep on hoping well eat cake by the ocean iiiiii keep on hoping well eat cake by the ocean iiiiii keep on hoping well eat cake by the ocean youre fucking delicious talk to me girl talk to me baby im going blind from this sweet sweet craving whoaoh lets lose our minds and go fucking crazy iiiiii keep on hoping well eat cake by the ocean walk for me baby walk for me now ill be diddy you be naomi whoa oh lets lose our minds and go fucking crazy thats right iiiiii keep on hoping well eat cake by the ocean red velvet vanilla chocolate in my life funfetti im ready i need it every night red velvet vanilla chocolate in my life iiiiii keep on hoping well eat cake by the ocean,1,391,114
19,me myself i,geazy and bebe rexha,2016,NA,,0,0
20,ride,twenty one pilots,2016,i just wanna stay in the sun where i find i know its hard sometimes pieces of peace in the suns peace of mind i know its hard sometimes yeah i think about the end just way too much but its fun to fantasize on my enemies who wouldnt wish who i was but its fun to fantasize oh oh oh oh oh oh oh oh im fallin so im taking my time on my riiiide oh oh oh oh im fallin so im taking my time on my ride takin my time on my ride id die for you thats easy to say we have a list of people that we would take a bullet for them a bullet for you a bullet for everybody in this room but i dont seem to see many bullets coming through see many bullets coming through metaphorically im the man but literally i dont know what id do id live for you and thats hard to do even harder to say when you know its not true even harder to write when you know thats a lie there were people back home who tried talking to you but then you ignore them still all these questions theyre for real like who would you live for who would you die for and would you ever kill oh oh oh oh oh oh oh oh im fallin so im taking my time on my riiiide oh oh oh oh im fallin so im taking my time on my ride takin my time on my ride ive been thinking too much ive been thinking too much ive been thinking too much ive been thinking too much help me ive been thinking too much ive been thinking too much ive been thinking too much help me ive been thinking too much ive been thinking too much ive been thinking too much oh oh oh oh oh oh oh oh im fallin so im taking my time on my riiiide oh oh oh oh im fallin so im taking my time takin my time on my riide whoa oh oh oh oh oh oh oh oh oh oh im fallin so im taking my time on my riiiide oh oh oh oh im falling so im takin my time on my ive been thinking too much help me ive been thinking too much help me ive been thinking too much ive been thinking too much ive been thinking too much help me ive been thinking too much ive been thinking too much ive been thinking too much help me,1,432,111
21,heathens,twenty one pilots,2016,all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse welcome to the room of people who have rooms of people that they loved one day docked away just because we check the guns at the door doesnt mean our brains will change from hand grenades youll never know the psychopath sitting next to you youll never know the murderer sitting next to you youll think howd i get here sitting next to you but after all ive said please dont forget all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse we dont deal with outsiders very well they say newcomers have a certain smell you have trust issues not to mention they say they can smell your intentions youll never know the freak show sitting next to you youll have some weird people sitting next to you youll think how did i get here sitting next to you but after all ive said please dont forget watch it watch it all my friends are heathens take it slow wait for them to ask you who you know please dont make any sudden moves you dont know the half of the abuse all my friends are heathens take it slow watch it wait for them to ask you who you know watch it please all my friends are heathens take it slow watch it wait for them to ask you who you know whyd you come you knew you should have stayed i tried to warn you just to stay away and now theyre outside ready to bust it looks like you might be one of us,1,341,113
22,pillowtalk,zayn,2016,climb on board well go slow and high tempo light and dark hold me hard and mellow im seeing the pain seeing the pleasure nobody but you body but me body but us bodies together i love to hold you close tonight and always i love to wake up next to you i love to hold you close tonight and always i love to wake up next to you so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking in and fighting on its our paradise and its our war zone its our paradise and its our war zone pillow talk my enemy my ally prisoners then were free its a thin line im seeing the pain seeing the pleasure nobody but you body but me body but us bodies together i love to hold you close tonight and always i love to wake up next to you so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking and fighting on its our paradise and its our war zone its our paradise and its our war zone paradise paradise paradise paradise war zone war zone war zone war zone paradise paradise paradise paradise war zone war zone war zone war zone so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking and fighting on its our paradise and its our war zone its our paradise and its our war zone,1,332,77
23,stitches,shawn mendes,2016,i thought that ive been hurt before but no ones ever left me quite this sore your words cut deeper than a knife now i need someone to breathe me back to life got a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move on you watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitches just like a moth drawn to a flame oh you lured me in i couldnt sense the pain your bitter heart cold to the touch now im gonna reap what i sow im left seeing red on my own got a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move on you watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitches needle and the thread gotta get you out of my head needle and the thread gonna wind up dead needle and the thread gotta get you out of my head needle and the thread gonna wind up dead needle and the thread gotta get you out of my head needle and the thread gonna wind up dead needle and the thread gotta get you out of my head get you out of my head you watch me bleed until i cant breathe im shaking falling onto my knees falling on my knees and now that im without your kisses ill be needing stitches and ill be needing stitches im tripping over myself im aching begging you to come help begging baby please and now that im without your kisses ill be needing stitches and now that im without your kisses ill be needing stitches and now that im without your kisses ill be needing stitches,1,371,104
24,hotline bling,drake,2016,you used to call me on my you used to you used to yeah you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city you got a reputation for yourself now everybody knows and i feel left out girl you got me down you got me stressed out cause ever since i left the city you started wearing less and goin out more glasses of champagne out on the dance floor hangin with some girls ive never seen before you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city you you you you and me we just dont get along you make me feel like i did you wrong going places where you dont belong ever since i left the city you you got exactly what you asked for running out of pages in your passport hanging with some girls ive never seen before you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing these days all i do is wonder if youre bendin over backwards for someone else wonder if youre rolling up a backwoods for someone else doing things i taught you gettin nasty for someone else you dont need no one else you dont need nobody else no why you never alone why you always touching road used to always stay at home be a good girl you was in the zone yeah you should just be yourself right now youre someone else you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city,1,439,122
